SEC            ( Area cm2   I2 cm4   I3 cm4)
YG:32x2.5         2.32      2.54      2.54
YG:32x3.0         2.73      2.90      2.90
YG:32x3.5         3.13      3.23      3.23
YG:38x2.5         2.79      4.41      4.41
YG:38x3.0         3.30      5.09      5.09
YG:38x3.5         3.79      5.70      5.70
YG:38x4.0         4.27      6.26      6.26
YG:42x2.5         3.10      6.07      6.07
YG:42x3.0         3.68      7.03      7.03
YG:42x3.5         4.23      7.91      7.91
YG:42x4.0         4.78      8.71      8.71
YG:45x2.5         3.34      7.56      7.56
YG:45x3.0         3.96      8.77      8.77
YG:45x3.5         4.56      9.89      9.89
YG:45x4.0         5.15      10.93     10.93
YG:50x2.5         3.73      10.55     10.55
YG:50x3.0         4.43      12.28     12.28
YG:50x3.5         5.11      13.90     13.90
YG:50x4.0         5.78      15.41     15.41
YG:50x4.5         6.43      16.81     16.81
YG:50x5.0         7.07      18.11     18.11
YG:54x3.0         4.81      15.68     15.68
YG:54x3.5         5.55      17.79     17.79
YG:54x4.0         6.28      19.76     19.76
YG:54x4.5         7.00      21.61     21.61
YG:54x5.0         7.70      23.34     23.34
YG:54x5.5         8.38      24.96     24.96
YG:54x6.0         9.05      26.46     26.46
YG:57x3.0         5.09      18.61     18.61
YG:57x3.5         5.88      21.14     21.14
YG:57x4.0         6.66      23.52     23.52
YG:57x4.5         7.42      25.76     25.76
YG:57x5.0         8.17      27.86     27.86
YG:57x5.5         8.90      29.84     29.84
YG:57x6.0         9.61      31.69     31.69
YG:60x3.0         5.37      21.88     21.88
YG:60x3.5         6.21      24.88     24.88
YG:60x4.0         7.04      27.73     27.73
YG:60x4.5         7.85      30.41     30.41
YG:60x5.0         8.64      32.94     32.94
YG:60x5.5         9.42      35.32     35.32
YG:60x6.0         10.18     37.56     37.56
YG:63.5x3.0       5.70      26.15     26.15
YG:63.5x3.5       6.60      29.79     29.79
YG:63.5x4.0       7.48      33.24     33.24
YG:63.5x4.5       8.34      36.50     36.50
YG:63.5x5.0       9.19      39.60     39.60
YG:63.5x5.5       10.02     42.52     42.52
YG:63.5x6.0       10.84     45.28     45.28
YG:68x3.0         6.13      32.42     32.42
YG:68x3.5         7.09      36.99     36.99
YG:68x4.0         8.04      41.34     41.34
YG:68x4.5         8.98      45.47     45.47
YG:68x5.0         9.90      49.41     49.41
YG:68x5.5         10.80     53.14     53.14
YG:68x6.0         11.69     56.68     56.68
YG:70x3.0         6.31      35.50     35.50
YG:70x3.5         7.31      40.53     40.53
YG:70x4.0         8.29      45.33     45.33
YG:70x4.5         9.26      49.89     49.89
YG:70x5.0         10.21     54.24     54.24
YG:70x5.5         11.14     58.38     58.38
YG:70x6.0         12.06     62.31     62.31
YG:73x3.0         6.60      40.48     40.48
YG:73x3.5         7.64      46.26     46.26
YG:73x4.0         8.67      51.78     51.78
YG:73x4.5         9.68      57.04     57.04
YG:73x5.0         10.68     62.07     62.07
