    np    ne
   109   420

       x         y         z
     -4.94     -8.56      0.16
     -3.75     -6.44      0.09
     -2.50     -8.56      0.13
     -1.25     -6.44      0.07
      0.00     -8.56      0.12
      1.25     -6.44      0.07
      2.50     -8.56      0.13
      3.75     -6.44      0.09
      4.94     -8.56      0.16
     -6.19     -6.44      0.13
      6.19     -6.44      0.13
     -5.00     -4.28      0.07
     -2.50     -4.28      0.04
      0.00     -4.28      0.03
      2.50     -4.28      0.04
      5.00     -4.28      0.07
     -7.44     -4.28      0.12
      7.44     -4.28      0.12
     -6.25     -2.11      0.07
     -3.75     -2.11      0.03
     -1.25     -2.11      0.01
      1.25     -2.11      0.01
      3.75     -2.11      0.03
      6.25     -2.11      0.07
     -8.69     -2.11      0.13
      8.69     -2.11      0.13
     -7.50      0.00      0.09
     -5.00      0.00      0.04
     -2.50      0.00      0.01
      0.00      0.00      0.00
      2.50      0.00      0.01
      5.00      0.00      0.04
      7.50      0.00      0.09
     -9.94      0.00      0.17
      9.94      0.00      0.17
     -8.69      2.11      0.13
     -6.25      2.11      0.07
     -3.75      2.11      0.03
     -1.25      2.11      0.01
      1.25      2.11      0.01
      3.75      2.11      0.03
      6.25      2.11      0.07
      8.69      2.11      0.13
     -7.44      4.28      0.12
     -5.00      4.28      0.07
     -2.50      4.28      0.04
      0.00      4.28      0.03
      2.50      4.28      0.04
      5.00      4.28      0.07
      7.44      4.28      0.12
     -6.19      6.44      0.13
     -3.75      6.44      0.09
     -1.25      6.44      0.07
      1.25      6.44      0.07
      3.75      6.44      0.09
      6.19      6.44      0.13
     -4.94      8.56      0.16
     -2.50      8.56      0.13
      0.00      8.56      0.12
      2.50      8.56      0.13
      4.94      8.56      0.16
     -5.00     -7.22     -1.07
     -2.50     -7.22     -1.10
      0.00     -7.22     -1.11
      2.50     -7.22     -1.10
      5.00     -7.22     -1.07
     -6.25     -5.05     -1.09
     -3.75     -5.05     -1.13
     -1.25     -5.05     -1.15
      1.25     -5.05     -1.15
      3.75     -5.05     -1.13
      6.25     -5.05     -1.09
     -7.50     -2.89     -1.09
     -5.00     -2.89     -1.14
     -2.50     -2.89     -1.17
      0.00     -2.89     -1.18
      2.50     -2.89     -1.17
      5.00     -2.89     -1.14
      7.50     -2.89     -1.09
     -8.75     -0.72     -1.07
     -6.25     -0.72     -1.13
     -3.75     -0.72     -1.17
     -1.25     -0.72     -1.19
      1.25     -0.72     -1.19
      3.75     -0.72     -1.17
      6.25     -0.72     -1.13
      8.75     -0.72     -1.07
     -7.50      1.44     -1.10
     -5.00      1.44     -1.15
     -2.50      1.44     -1.18
      0.00      1.44     -1.19
      2.50      1.44     -1.18
      5.00      1.44     -1.15
      7.50      1.44     -1.10
     -6.25      3.61     -1.11
     -3.75      3.61     -1.15
     -1.25      3.61     -1.17
      1.25      3.61     -1.17
      3.75      3.61     -1.15
      6.25      3.61     -1.11
     -5.00      5.77     -1.10
     -2.50      5.77     -1.13
      0.00      5.77     -1.14
      2.50      5.77     -1.13
      5.00      5.77     -1.10
     -3.75      7.94     -1.07
     -1.25      7.94     -1.09
      1.25      7.94     -1.09
      3.75      7.94     -1.07

     left      right
         1      2
         1      3
         2      3
         3      4
         3      5
         4      5
         5      6
         5      7
         6      7
         7      8
         7      9
         8      9
         1     10
         9     11
        10     12
        10      2
        12      2
         2     13
         2      4
        13      4
         4     14
         4      6
        14      6
         6     15
         6      8
        15      8
         8     16
         8     11
        16     11
        10     17
        11     18
        17     19
        17     12
        19     12
        12     20
        12     13
        20     13
        13     21
        13     14
        21     14
        14     22
        14     15
        22     15
        15     23
        15     16
        23     16
        16     24
        16     18
        24     18
        17     25
        18     26
        25     27
        25     19
        27     19
        19     28
        19     20
        28     20
        20     29
        20     21
        29     21
        21     30
        21     22
        30     22
        22     31
        22     23
        31     23
        23     32
        23     24
        32     24
        24     33
        24     26
        33     26
        25     34
        26     35
        34     36
        34     27
        36     27
        27     37
        27     28
        37     28
        28     38
        28     29
        38     29
        29     39
        29     30
        39     30
        30     40
        30     31
        40     31
        31     41
        31     32
        41     32
        32     42
        32     33
        42     33
        33     43
        33     35
        43     35
        36     44
        36     37
        44     37
        37     45
        37     38
        45     38
        38     46
        38     39
        46     39
        39     47
        39     40
        47     40
        40     48
        40     41
        48     41
        41     49
        41     42
        49     42
        42     50
        42     43
        50     43
        44     51
        44     45
        51     45
        45     52
        45     46
        52     46
        46     53
        46     47
        53     47
        47     54
        47     48
        54     48
        48     55
        48     49
        55     49
        49     56
        49     50
        56     50
        51     57
        51     52
        57     52
        52     58
        52     53
        58     53
        53     59
        53     54
        59     54
        54     60
        54     55
        60     55
        55     61
        55     56
        61     56
        57     58
        58     59
        59     60
        60     61
         1     62
        10     62
         2     62
