      np       ne
      39      120

         x         y         z
     0.100     0.000     0.100
     0.100     0.500     0.100
     0.100     1.000     0.100
     0.100     1.500     0.100
     0.300     0.250    -0.400
     0.300     0.750    -0.400
     0.300     1.250    -0.400
     0.600     0.000     0.000
     0.600     0.500     0.000
     0.600     1.000     0.000
     0.600     1.500     0.000
     0.900     0.250    -0.400
     0.900     0.750    -0.400
     0.900     1.250    -0.400
     1.200     0.000     0.000
     1.200     0.500     0.000
     1.200     1.000     0.000
     1.200     1.500     0.000
     1.500     0.250    -0.400
     1.500     0.750    -0.400
     1.500     1.250    -0.400
     1.800     0.000     0.000
     1.800     0.500     0.000
     1.800     1.000     0.000
     1.800     1.500     0.000
     2.100     0.250    -0.400
     2.100     0.750    -0.400
     2.100     1.250    -0.400
     2.400     0.000     0.000
     2.400     0.500     0.000
     2.400     1.000     0.000
     2.400     1.500     0.000
     2.300     0.250    -0.400
     2.300     0.750    -0.400
     2.300     1.250    -0.400
     2.600     0.000     0.000
     2.600     0.500     0.000
     2.600     1.000     0.000
     2.600     1.500     0.000

    left      right
      1         2
      2         3
      3         4
      8         9
      9        10
     10        11
     15        16
     16        17
     17        18
     22        23
     23        24
     24        25
     29        30
     30        31
     31        32
      1         8
      2         9
      3        10
      4        11
      8        15
      9        16
     10        17
     11        18
     15        22
     16        23
     17        24
     18        25
     22        29
     23        30
     24        31
     25        32
      5         6
      6         7
     12        13
     13        14
     19        20
     20        21
     26        27
     27        28
      5        12
      6        13
      7        14
     12        19
     13        20
     14        21
     19        26
     20        27
     21        28
      5         9
      5         1
      5         8
      5         2
      6        10
      6         2
      6         9
      6         3
      7        11
      7         3
      7        10
      7         4
     12        16
     12         8
     12        15
     12         9
     13        17
     13         9
     13        16
     13        10
     14        18
     14        10
     14        17
     14        11
     19        23
     19        15
     19        22
     19        16
     20        24
     20        16
     20        23
     20        17
     21        25
     21        17
     21        24
     21        18
     26        30
     26        22
     26        29
     26        23
     27        31
     27        23
     27        30
     27        24
     28        32
     28        24
     28        31
     28        25
     31        38
     30        37
     37        38
     38        39
     32        39
     36        37
     29        36
     34        35
     33        34
     26        33
     27        34
     28        35
     31        35
     32        35
     35        39
     35        38
     30        34
     29        33
     33        36
     34        37
     31        34
     34        38
     30        33
     33        37
