      np       ne
      25       72

         x         y         z
     0.000     0.000     0.000
     0.500     0.000     0.000
     1.000     0.000     0.000
     1.500     0.000     0.000
     0.250     0.250    -0.400
     0.750     0.250    -0.400
     1.250     0.250    -0.400
     0.000     0.500     0.000
     0.500     0.500     0.000
     1.000     0.500     0.000
     1.500     0.500     0.000
     0.250     0.750    -0.400
     0.750     0.750    -0.400
     1.250     0.750    -0.400
     0.000     1.000     0.000
     0.500     1.000     0.000
     1.000     1.000     0.000
     1.500     1.000     0.000
     0.250     1.250    -0.400
     0.750     1.250    -0.400
     1.250     1.250    -0.400
     0.000     1.500     0.000
     0.500     1.500     0.000
     1.000     1.500     0.000
     1.500     1.500     0.000

    left      right
      1         2
      2         3
      3         4
      8         9
      9        10
     10        11
     15        16
     16        17
     17        18
     22        23
     23        24
     24        25
      1         8
      2         9
      3        10
      4        11
      8        15
      9        16
     10        17
     11        18
     15        22
     16        23
     17        24
     18        25
      5         6
      6         7
     12        13
     13        14
     19        20
     20        21
      5        12
      6        13
      7        14
     12        19
     13        20
     14        21
      5         9
      5         1
      5         8
      5         2
      6        10
      6         2
      6         9
      6         3
      7        11
      7         3
      7        10
      7         4
     12        16
     12         8
     12        15
     12         9
     13        17
     13         9
     13        16
     13        10
     14        18
     14        10
     14        17
     14        11
     19        23
     19        15
     19        22
     19        16
     20        24
     20        16
     20        23
     20        17
     21        25
     21        17
     21        24
     21        18
