  np      ne
   24      66
 
     x        y        z   
    0.000    0.000    0.000
    0.500    0.000    0.000
    0.010    0.000    0.500
    0.000    0.600    0.000
    0.500    0.600    0.000
    0.010    0.600    0.500
    0.000    1.200    0.000
    0.500    1.200    0.000
    0.010    1.200    0.500
    0.000    1.800    0.000
    0.500    1.800    0.000
    0.010    1.800    0.500
    0.000    2.400    0.000
    0.500    2.400    0.000
    0.010    2.400    0.500
    0.000    3.000    0.000
    0.500    3.000    0.000
    0.010    3.000    0.500
    0.000    3.600    0.000
    0.500    3.600    0.000
    0.010    3.600    0.500
    0.000    4.200    0.000
    0.500    4.200    0.000
    0.010    4.200    0.500
 
  left     right
    1        2
    2        3
    3        1
    1        4
    2        5
    3        6
    1        6
    2        4
    3        5
    4        5
    5        6
    6        4
    4        7
    5        8
    6        9
    4        9
    5        7
    6        8
    7        8
    8        9
    9        7
    7       10
    8       11
    9       12
    7       12
    8       10
    9       11
   10       11
   11       12
   12       10
   10       13
   11       14
   12       15
   10       15
   11       13
   12       14
   13       14
   14       15
   15       13
   13       16
   14       17
   15       18
   13       18
   14       16
   15       17
   16       17
   17       18
   18       16
   16       19
   17       20
   18       21
   16       21
   17       19
   18       20
   19       20
   20       21
   21       19
   19       22
   20       23
   21       24
   19       24
   20       22
   21       23
   22       23
   23       24
   24       22
